streamid,Year,SPECIES_QUALIFIED,cu_name_pse,cuid,stream_name_pse,PSE_source,TTC_Species,TTC_STOCK_MATCH,TTC_RECORD_MATCH,TTC_METHOD,TTC_QUALITY,POP_ID,IS_INDICATOR,latitude,longitude,Spn_TTC,Spn_Combined
10129,1942,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1943,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1944,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1945,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1946,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1947,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1948,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1949,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1950,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1951,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1952,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1953,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1954,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1955,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1956,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1957,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1958,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1959,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
